,title,org,desc
622,Greeter - Calumet City,Ingalls Hospital,"Under the direct supervision of the Concierge of the Medical Office Building, the Greeter Volunteer is responsible for cheerfully..."
623,Clerical - Calumet City,Ingalls Hospital,"Under the direct supervision of the Administrative Assistant for the Ingalls Family Care Center, the Clerical Volunteer is responsible..."
624,Administrative & Program Support,The Bridge Teen Center,Provide administrative support to our Afterschool & Friday Night programs. Afterschool shifts would be 1-2 hours between the hours of...
625,Offsite Program Assistant,The Bridge Teen Center,"Assist staff members during offsite programs. This includes monitoring behavior on the bus, during the program, and encouraging student..."
626,Little Paws Big Hearts Gala 2019,Almost Home Foundation,We are looking to get strong self starters to help out on several levels for the Little Paws Big Hearts Gala this fundraiser helps us pay...
627,Daytime volunteer,The Center for Enriched Living,"REACH is a year-round day program for adults with developmental disabilities who work part-time, are unemployed, are transitioning into..."
628,Find out how just 3 hours a week can make a difference in the lives of homeless women...,Community Threads,Community Threads is a 100% non-profit resale sale that uses the skills of volunteers to process and merchandise donated goods. We have a...
629,"Patient Visit Volunteer and Friend in Northbrook, Highland Park, Glenview Area","KINDRED HOSPICE, formerly Gentiva Hospice",Kindred Hospice is seeking volunteers to provide companionship and support to patients with life-limiting illnesses and their families in...
630,"Patient Visit Volunteer and Friend in Wheeling, Lincolnshire Area","KINDRED HOSPICE, formerly Gentiva Hospice",There are few volunteer service experiences which provide the opportunity for grace and illumination like providing support to a hospice...
631,Receptionist,"Northwest Compass, Inc.","Purpose/Objective: To welcome clients and visitors, and direct them to the case manager providing the appropriate social services..."
632,Event Photographer Associate,"Northwest Compass, Inc.","Purpose/Objective: Take, edit and organize high quality photographs at various Northwest Compass community events throughout the year...."
633,"Have some ""spare"" time? Help bowlers who have special needs!",Northwest Special Recreation Association (NWSRA),NWSRA exsists to provide outstanding opportunities for children and adults who have disabilities. Volunteers are needed to help these...
634,Help CUB spread the word about Energy Efficiency!,Citizens Utility Board,CUB’s coming to your community and we need your help. We’re building a volunteer team to educate your neighbors about big...
635,Help CUB spread the word about Energy Efficiency!,Citizens Utility Board,CUB’s coming to your community and we need your help. We’re building a volunteer team to educate your neighbors about big...
636,Bon Appetit! Help a person with a disability learn to cook,Northwest Special Recreation Association (NWSRA),"NWSRA offers several cooking programs for adults who have disabilities. These programs help participants improve fine motor, cognitive,..."
637,Volunteer with Senior Corps-RSVP,HandsOn Suburban Chicago,Senior Corps-RSVP is a volunteer program serving 44 cities and towns in Northern Cook County and DuPage County north of North Avenue. You...
638,Live Sound Person Needed,Acts Of Kindness Cabaret,"Seeking a skilled, caring live sound person to run our sound system at performances (5 - 8 per year, dates/locations vary). Must have car..."
639,Grant Writer,"Northwest Compass, Inc.",Purpose: We are looking for effective grant writers to help us obtain grants to support our mission; to enhance our community by...
640,Marketing Manager,"Northwest Compass, Inc.",This position is designed to provide real work experience that can help build a professional resume. This is a good opportunity to...
641,Looking to serve the community in between a busy schedule? Check out these opportunities!,Community Threads,Do you want to lend a helping hand in your community? Looking for a way to help that coordinates with a busy schedule? Community Threads...
642,Join Our Growing Team of Volunteers!,Community Threads,"Looking to join a community of volunteers who share common goals such as promoting education, eliminating poverty, and providing..."
643,Community Service Hours for Court,Community Threads,Community Threads is a non-profit resale store that uses volunteer labor and donated items to generate funding for homeless women and...
644,Do you like to organize? This opportunity might be perfect for you!,Community Threads,Do you enjoy organizing? Love to make sure everything is in its right place? This volunteer opportunity might be for you! At our...
645,"Corporate Group Volunteer Opportunity! Help the Homeless, Educate Children, Protect the...",Community Threads,Community Threads is a 100% non-profit resale store located in the Northwest Suburbs of Chicago. The profits raised by our store benefit...
646,Fundraising & Development Manager,"Northwest Compass, Inc.","The Fundraising & Development Manager will be responsible for the identification, cultivation and solicitation of events, campaigns..."
647,Gain Job Experience,Community Threads,Looking to gain job experience in a retail setting? You've come to the right place! Community Threads is a 100% non-profit resale store...
648,Homework Help & After School Tutors (on call),The Bridge Teen Center,The Bridge Teen Center is looking for volunteers to help with our after school tutoring program. We provide free after school homework...
649,Office Receptionist at The Bridge Teen Center,The Bridge Teen Center,"The Bridge Teen Center is looking for outgoing and friendly volunteers to support its after-school programs on a weekly basis (Monday,..."
650,Flexible Volunteer Opportunity to Help Your Neighbors,Escorted Transportation Service NW (ETS/NW),"""My 91 yr old Dad just had first ride last week, what a blessing this group of people are!️"" Our drivers have been with us for..."
651,General Store Clerk & Cashier,Lutheran Home and Services,"Lutheran Home General Store volunteers need ""pep in their step"" and are ready to greet visitors in a friendly manner when they..."
652,Lutheran Home Auxiliary,Lutheran Home and Services,The Auxiliary is a group of committed volunteers dedicated to assisting the Lutheran Home residents. We are looking for you! Our primary...
653,"Fitness, Music OR Art Instructors",The Bridge Teen Center,"The Bridge Teen Center’s mission is to provide free programs during after school hours where students can develop mentally,..."
654,Thrift Store Greeter,The Bridge Teen Center,"Greeter - opens door, welcomes patrons with a smile, distributes information/coupons, assists with carts, directs customers around the..."
655,Thrift Store Pick Up/Delivery Driver,The Bridge Teen Center,"Pick Up/Delivery Driver - drives company truck, picks up donated items, delivers items to store, keeps truck clean and organized, and..."
656,Thrift Store Pricer,The Bridge Teen Center,Pricer/Inventory - prices and records all items to be sold into system and keeps back area clean and organized.
657,Thrift Store Stocker,The Bridge Teen Center,"Stocker - places items to be sold neatly on display and keeps back area, as well as sales floor, clean and organized."
658,Thrift Store Zone Sales Assistant,The Bridge Teen Center,"Zone Sales Assistant - oversees area of store, ensures high level of customer satisfaction through excellent service, actively seeks out..."
659,Thrift Store Bagger,The Bridge Teen Center,"Bagger - bags purchased items for customers, assists patrons to vehicles as needed, assists with carts, and maintains front area inside..."
660,Thrift Store Cashier,The Bridge Teen Center,"Cashier - handles sales transactions, ensures high level of customer satisfaction through excellent service, cross sell products,..."
661,Thrift Store Pick Up/Delivery Mover,The Bridge Teen Center,"Pick Up/Delivery Mover - assists driver with directions, loads/unloads the truck, and keeps truck clean and organized."
